case;channel;program;date;title;decision_date;decision
18_04196;SR;Sportradion samt Studio Ett;2018-11-23;P4, Sportradion samt P1, Studio Ett, inslag om huvudskador inom ishockeyn;2019-05-22;Acquittal
18_04196;SR;Sportradion samt Studio Ett;2018-11-23;P4, Sportradion samt P1, Studio Ett, inslag om huvudskador inom ishockeyn;2019-05-22;Acquittal
18_04249;SR;Spanarna;2018-11-30;P1, Spanarna, inslag med uttalanden om USA:s president;2019-03-07;Acquittal
18_04273;SR;P1-morgon;2018-12-06;SR, P1-morgon, inslag om en föreslagen motorvägsförbindelse i södra Stockholm;2019-04-12;Acquittal
18_04318;SR;Lantzkampen;2018-11-30;P1, Lantzkampen, inslag om Centerpartiet och klimatet;2019-03-07;Acquittal
18_04350;SR;Förmiddag i P4 Halland;2018-12-11;Förmiddag i P4 Halland, inslag om rättegång om djurrättsaktivister;2019-02-13;Acquittal
18_04358;SR;P4 Väst lokala nyheter;2018-12-05;P4 Väst, lokala nyheter, inslag om en tandläkare;2019-05-27;Acquittal
18_04373;SR;Nyheter från Ekot;2018-12-13;P1, Ekonomieko inslag om gruvindustrin;2019-02-13;Acquittal
18_04378;SR;Nyheter från Vetenskapsradion;2018-12-13;P1, Nyheter från Vetenskapsradion, inslag om ekologisk odling;2019-07-17;Acquittal
18_04389;SR;P3 Nyheter;2018-12-14;P3 Nyheter, inslag om en komikers Sverigeturné;2019-03-07;Acquittal
18_04426;SR;Människor och tro;2018-12-13;P1, Människor och tro, program om Hizbollah;2019-06-04;Acquittal
19_00085;SR;P4 Extra;2018-12-26;P4 Extra, inslag om alkoholfria drycker;2019-04-04;Acquittal
19_00129;SR;Morgonpasset i P3;2019-01-11;Morgonpasset i P3, inslag om användningen av psykedeliska droger vid behandling av psykisk ohälsa;2019-04-01;Acquittal
19_00136;SR;Ekots lördagsintervju;2019-01-12;P1, Ekots lördagsintervju, inslag om hyresreglering;2019-09-05;Acquittal
19_00142;SR;Nyheter från Ekot;2019-01-13;P1, Nyheter från Ekot inslag om vänsteraktivist;2019-04-04;Acquittal
19_00171;SR;Förmiddag i P4 Stockholm;2019-01-16;Förmiddag i P4 Stockholm, inslag om talmansrunda;2019-05-22;Acquittal
19_00213;SR;Ekots lördagsintervju;2019-01-19;P1, Ekots lördagsintervju, program med partiledaren för Vänsterpartiet;2019-05-02;Acquittal
19_00227;SR;Morgonpasset i P3;2018-08-30;Morgonpasset i P3, inslag med uttalanden av programledarna om personer med funktionshinder;2019-03-07;Acquittal
19_00244;SR;Tankesmedjan;2019-01-23;P3, Tankesmedjan, inslag om en podcast;2019-05-27;Acquittal
19_00248;SR;Ekot;2018-11-12;P1, Ekot, inslag om rättegång mot kulturprofil;2019-09-02;Acquittal
19_00264;SR;P1 Kultur;2019-01-25;P1 Kultur, inslag om en filmfestival;2019-09-02;Acquittal
19_00339;SR;P1-morgon;2019-01-31;SR, P1-morgon, inslag om narkolepsi;2019-04-12;Acquittal
